tahun ,wilayah,nama_penyakit,jumlah_orang
2017,Wilayah Jakarta Pusat,TB,4341
2017,Wilayah Jakarta Pusat,PNEMONIA BALITA,3906
2017,Wilayah Jakarta Pusat,DBD,129
2017,Wilayah Jakarta Pusat,DIFTERI,12
2017,Wilayah Jakarta Pusat,HIV,1008
2017,Wilayah Jakarta Pusat,AIDS,109
2017,Wilayah Jakarta Pusat,DIARE,92134
2017,Wilayah Jakarta Pusat,KUSTA,26
2017,Wilayah Jakarta Pusat,AFP (NON POLIO),6
2017,Wilayah Jakarta Pusat,CAMPAK,112
2017,Wilayah Jakarta Pusat,HEPATITIS,45
2017,Wilayah Jakarta Pusat,MALARIA,6
2017,Wilayah Jakarta Pusat,FILARIASIS,5
2017,Wilayah Jakarta Utara,TB,4102
2017,Wilayah Jakarta Utara,PNEMONIA BALITA,15314
2017,Wilayah Jakarta Utara,DBD,518
2017,Wilayah Jakarta Utara,DIFTERI,27
2017,Wilayah Jakarta Utara,HIV,298
2017,Wilayah Jakarta Utara,AIDS,61
2017,Wilayah Jakarta Utara,DIARE,48096
2017,Wilayah Jakarta Utara,KUSTA,94
2017,Wilayah Jakarta Utara,AFP (NON POLIO),9
2017,Wilayah Jakarta Utara,CAMPAK,182
2017,Wilayah Jakarta Utara,HEPATITIS,54
2017,Wilayah Jakarta Utara,MALARIA,12
2017,Wilayah Jakarta Utara,FILARIASIS,0
2017,Wilayah Jakarta Barat,TB,5562
2017,Wilayah Jakarta Barat,PNEMONIA BALITA,10747
2017,Wilayah Jakarta Barat,DBD,822
2017,Wilayah Jakarta Barat,DIFTERI,25
2017,Wilayah Jakarta Barat,HIV,624
2017,Wilayah Jakarta Barat,AIDS,29
2017,Wilayah Jakarta Barat,DIARE,68258
2017,Wilayah Jakarta Barat,KUSTA,108
2017,Wilayah Jakarta Barat,AFP (NON POLIO),15
2017,Wilayah Jakarta Barat,CAMPAK,445
2017,Wilayah Jakarta Barat,HEPATITIS,178
2017,Wilayah Jakarta Barat,MALARIA,10
2017,Wilayah Jakarta Barat,FILARIASIS,1
2017,Wilayah Jakarta Selatan,TB,5279
2017,Wilayah Jakarta Selatan,PNEMONIA BALITA,9466
2017,Wilayah Jakarta Selatan,DBD,598
2017,Wilayah Jakarta Selatan,DIFTERI,17
2017,Wilayah Jakarta Selatan,HIV,373
2017,Wilayah Jakarta Selatan,AIDS,53
2017,Wilayah Jakarta Selatan,DIARE,60124
2017,Wilayah Jakarta Selatan,KUSTA,72
2017,Wilayah Jakarta Selatan,AFP (NON POLIO),10
2017,Wilayah Jakarta Selatan,CAMPAK,177
2017,Wilayah Jakarta Selatan,HEPATITIS,46
2017,Wilayah Jakarta Selatan,MALARIA,12
2017,Wilayah Jakarta Selatan,FILARIASIS,0
2017,Wilayah Jakarta Timur,TB,8895
2017,Wilayah Jakarta Timur,PNEMONIA BALITA,12307
2017,Wilayah Jakarta Timur,DBD,1265
2017,Wilayah Jakarta Timur,DIFTERI,39
2017,Wilayah Jakarta Timur,HIV,572
2017,Wilayah Jakarta Timur,AIDS,58
2017,Wilayah Jakarta Timur,DIARE,78105
2017,Wilayah Jakarta Timur,KUSTA,99
2017,Wilayah Jakarta Timur,AFP (NON POLIO),19
2017,Wilayah Jakarta Timur,CAMPAK,478
2017,Wilayah Jakarta Timur,HEPATITIS,88
2017,Wilayah Jakarta Timur,MALARIA,25
2017,Wilayah Jakarta Timur,FILARIASIS,19
2017,Wilayah Kep. Seribu,TB,41
2017,Wilayah Kep. Seribu,PNEMONIA BALITA,101
2017,Wilayah Kep. Seribu,DBD,1
2017,Wilayah Kep. Seribu,DIFTERI,0
2017,Wilayah Kep. Seribu,HIV,2
2017,Wilayah Kep. Seribu,AIDS,0
2017,Wilayah Kep. Seribu,DIARE,645
2017,Wilayah Kep. Seribu,KUSTA,7
2017,Wilayah Kep. Seribu,AFP (NON POLIO),0
2017,Wilayah Kep. Seribu,CAMPAK,0
2017,Wilayah Kep. Seribu,HEPATITIS,3
2017,Wilayah Kep. Seribu,MALARIA,0
2017,Wilayah Kep. Seribu,FILARIASIS,0
