tahun,wilayah,nama_penyakit,jumlah_orang
2018,Kepulauan Seribu,Malaria,0
2018,Kepulauan Seribu,TB Paru,49
2018,Kepulauan Seribu,Pneumonia,49
2018,Kepulauan Seribu,Kusta,6
2018,Kepulauan Seribu,Campak,0
2018,Kepulauan Seribu,Diare,1940
2018,Kepulauan Seribu,DBD,11
2018,Kepulauan Seribu,AIDS Kasus Baru,0
2018,Kepulauan Seribu,AIDS Kasus Kumilatif,0
2018,Kepulauan Seribu,IMS,2
2018,Jakarta Selatan,Malaria,10
2018,Jakarta Selatan,TB Paru,5265
2018,Jakarta Selatan,Pneumonia,3011
2018,Jakarta Selatan,Kusta,42
2018,Jakarta Selatan,Campak,106
2018,Jakarta Selatan,Diare,101122
2018,Jakarta Selatan,DBD,736
2018,Jakarta Selatan,AIDS Kasus Baru,89
2018,Jakarta Selatan,AIDS Kasus Kumilatif,199
2018,Jakarta Selatan,IMS,4785
2018,Jakarta Timur,Malaria,28
2018,Jakarta Timur,TB Paru,10207
2018,Jakarta Timur,Pneumonia,3413
2018,Jakarta Timur,Kusta,131
2018,Jakarta Timur,Campak,330
2018,Jakarta Timur,Diare,94495
2018,Jakarta Timur,DBD,923
2018,Jakarta Timur,AIDS Kasus Baru,162
2018,Jakarta Timur,AIDS Kasus Kumilatif,391
2018,Jakarta Timur,IMS,4503
2018,Jakarta Pusat,Malaria,7
2018,Jakarta Pusat,TB Paru,5187
2018,Jakarta Pusat,Pneumonia,1454
2018,Jakarta Pusat,Kusta,25
2018,Jakarta Pusat,Campak,94
2018,Jakarta Pusat,Diare,48093
2018,Jakarta Pusat,DBD,118
2018,Jakarta Pusat,AIDS Kasus Baru,226
2018,Jakarta Pusat,AIDS Kasus Kumilatif,791
2018,Jakarta Pusat,IMS,5740
2018,Jakarta Barat,Malaria,10
2018,Jakarta Barat,TB Paru,7613
2018,Jakarta Barat,Pneumonia,4776
2018,Jakarta Barat,Kusta,99
2018,Jakarta Barat,Campak,234
2018,Jakarta Barat,Diare,92498
2018,Jakarta Barat,DBD,941
2018,Jakarta Barat,AIDS Kasus Baru,54
2018,Jakarta Barat,AIDS Kasus Kumilatif,99
2018,Jakarta Barat,IMS,6132
2018,Jakarta Utara,Malaria,8
2018,Jakarta Utara,TB Paru,4249
2018,Jakarta Utara,Pneumonia,1926
2018,Jakarta Utara,Kusta,64
2018,Jakarta Utara,Campak,35
2018,Jakarta Utara,Diare,72436
2018,Jakarta Utara,DBD,278
2018,Jakarta Utara,AIDS Kasus Baru,94
2018,Jakarta Utara,AIDS Kasus Kumilatif,397
2018,Jakarta Utara,IMS,2308
